data,sku,categoria,demanda,estoque,preco,pred
2023-11-13,S001-P0001,Electronics,35,227,45.27,124.84746289534516
2023-11-14,S001-P0001,Electronics,122,196,74.19,85.15879839672897
2023-11-15,S001-P0001,Electronics,90,99,63.41,84.60388855923766
2023-11-16,S001-P0001,Electronics,164,276,66.28,124.56930583013065
2023-11-17,S001-P0001,Electronics,102,90,69.56,87.22408443486444
2023-11-18,S001-P0001,Electronics,106,269,62.72,111.07262988797837
2023-11-19,S001-P0001,Electronics,127,199,79.47,106.8653651112801
2023-11-20,S001-P0001,Electronics,132,314,72.66,111.44862366999766
2023-11-21,S001-P0001,Electronics,56,192,56.23,105.22280464792179
2023-11-22,S001-P0001,Electronics,100,430,65.68,91.59251231224628
2023-11-23,S001-P0001,Electronics,71,324,66.1,84.81070594298825
2023-11-24,S001-P0001,Electronics,56,244,62.5,92.70348783084295
2023-11-25,S001-P0001,Electronics,107,210,78.53,85.1535412924067
2023-11-26,S001-P0001,Electronics,148,94,71.06,132.10219916124672
2023-11-27,S001-P0001,Electronics,88,196,73.78,105.64585277771428
2023-11-28,S001-P0001,Electronics,139,347,82.38,83.65830611298426
2023-11-29,S001-P0001,Electronics,148,240,89.0,106.68045747330444
2023-11-30,S001-P0001,Electronics,99,443,72.7,91.92977382520617
2023-12-01,S001-P0001,Electronics,109,326,79.16,104.42475579208373
2023-12-02,S001-P0001,Electronics,160,202,74.29,124.21452326952357
2023-12-03,S001-P0001,Electronics,119,43,73.4,94.65956445603909
2023-12-04,S001-P0001,Electronics,73,275,59.94,125.52243000399254
2023-12-05,S001-P0001,Electronics,24,407,54.67,94.22603038113988
2023-12-06,S001-P0001,Electronics,142,385,74.73,107.40696552202336
2023-12-07,S001-P0001,Electronics,131,264,84.62,93.90378753894795
2023-12-08,S001-P0001,Electronics,147,165,79.68,125.11130369802417
2023-12-09,S001-P0001,Electronics,99,237,65.53,84.41289127006034
2023-12-10,S001-P0001,Electronics,127,129,62.63,109.6166913475143
2023-12-11,S001-P0001,Electronics,67,199,65.11,85.94540877387035
2023-12-12,S001-P0001,Electronics,161,422,78.41,130.86639828216374
2023-12-13,S001-P0001,Electronics,40,279,52.83,107.70619436602666
2023-12-14,S001-P0001,Electronics,75,232,63.56,105.19303738858157
2023-12-15,S001-P0001,Electronics,69,151,58.53,110.43993943539235
2023-12-16,S001-P0001,Electronics,70,267,59.21,95.16335187058313
2023-12-17,S001-P0001,Electronics,36,220,57.75,94.42796956969522
2023-12-18,S001-P0001,Electronics,109,194,71.38,95.1754971137142
2023-12-19,S001-P0001,Electronics,118,67,69.63,106.8317070732885
2023-12-20,S001-P0001,Electronics,104,235,74.02,85.2756148928493
2023-12-21,S001-P0001,Electronics,136,412,73.32,107.27538021281656
2023-12-22,S001-P0001,Electronics,64,255,67.67,106.62659489173387
2023-12-23,S001-P0001,Electronics,89,184,70.41,84.61810392556428
2023-12-24,S001-P0001,Electronics,147,112,66.4,137.28850909604517
2023-12-25,S001-P0001,Electronics,72,206,55.88,113.12752397889378
2023-12-26,S001-P0001,Electronics,132,422,60.45,111.23380062396686
2023-12-27,S001-P0001,Electronics,51,303,51.49,64.72922902519574
2023-12-28,S001-P0001,Electronics,73,261,63.06,62.11318136206051
2023-12-29,S001-P0001,Electronics,90,183,70.67,56.96157848956247
2023-12-30,S001-P0001,Electronics,54,104,61.96,46.94058593921141
2023-12-31,S001-P0001,Electronics,60,259,63.43,50.23000579353238
2024-01-01,S001-P0001,Electronics,62,216,63.94,50.24853669580275
2024-01-02,S001-P0001,Electronics,31,150,56.35,49.98094382716874
2024-01-03,S001-P0001,Electronics,52,230,54.9,67.74687313569953
2024-01-04,S001-P0001,Electronics,47,173,50.78,61.736346425312405
2024-01-05,S001-P0001,Electronics,71,127,59.46,59.83385856290425
2024-01-06,S001-P0001,Electronics,52,186,46.04,65.34678836392465
2024-01-07,S001-P0001,Electronics,71,297,66.0,47.614074358491074
2024-01-08,S001-P0001,Electronics,28,224,46.91,66.93351486766421
2024-01-09,S001-P0001,Electronics,75,192,66.86,83.88396723436931
2024-01-10,S001-P0001,Electronics,98,117,65.22,85.53647947009271
2024-01-11,S001-P0001,Electronics,141,198,65.28,109.74523938573643
2024-01-12,S001-P0001,Electronics,83,227,68.78,93.75066728940087
2024-01-13,S001-P0001,Electronics,111,466,64.28,132.87868647782935
2024-01-14,S001-P0001,Electronics,74,337,63.17,85.43710898797119
2024-01-15,S001-P0001,Electronics,114,254,68.71,95.71250030027392
2024-01-16,S001-P0001,Electronics,31,164,53.71,84.26134522583556
2024-01-17,S001-P0001,Electronics,88,394,63.1,95.56417568478676
2024-01-18,S001-P0001,Electronics,86,327,69.59,105.1910377489455
2024-01-19,S001-P0001,Electronics,90,273,55.71,112.58243777648515
2024-01-20,S001-P0001,Electronics,141,196,78.34,106.43803449505752
2024-01-21,S001-P0001,Electronics,109,218,60.17,124.19620899527143
2024-01-22,S001-P0001,Electronics,218,372,90.63,130.97462065112148
2024-01-23,S001-P0001,Electronics,68,135,68.85,83.45346974315721
2024-01-24,S001-P0001,Electronics,98,441,58.06,125.15532768735329
2024-01-25,S001-P0001,Electronics,137,325,77.43,104.00176971705127
2024-01-26,S001-P0001,Electronics,72,237,69.69,92.53804819984508
2024-01-27,S001-P0001,Electronics,99,471,72.78,83.3957792939764
2024-01-28,S001-P0001,Electronics,139,371,82.25,93.47645122915472
2024-01-29,S001-P0001,Electronics,112,259,79.88,94.18483933093242
2024-01-30,S001-P0001,Electronics,111,383,71.56,84.05999042278624
2023-10-03,S001-P0002,Clothing,64,104,49.65,136.95824009690435
2023-10-04,S001-P0002,Clothing,242,92,86.92,137.14933092930497
2023-10-05,S001-P0002,Clothing,185,256,66.94,118.54939629008383
2023-10-06,S001-P0002,Clothing,97,82,65.62,103.6215475240454
2023-10-07,S001-P0002,Clothing,67,86,59.19,100.00809532057816
2023-10-08,S001-P0002,Clothing,191,99,81.63,146.44641098318505
2023-10-09,S001-P0002,Clothing,128,194,72.45,113.40281180650027
2023-10-10,S001-P0002,Clothing,161,180,79.66,99.18196785182505
2023-10-11,S001-P0002,Clothing,110,259,72.12,122.26968889164603
2023-10-12,S001-P0002,Clothing,141,174,75.24,101.19171816537465
2023-10-13,S001-P0002,Clothing,95,149,65.21,101.19757533369317
2023-10-14,S001-P0002,Clothing,184,200,80.23,124.74985479807657
2023-10-15,S001-P0002,Clothing,114,279,69.35,100.11806426246771
2023-10-16,S001-P0002,Clothing,54,156,59.31,103.23340529426828
2023-10-17,S001-P0002,Clothing,80,98,52.62,161.75443593412493
2023-10-18,S001-P0002,Clothing,156,141,66.15,126.46654877845032
2023-10-19,S001-P0002,Clothing,43,197,56.77,123.46324866741152
2023-10-20,S001-P0002,Clothing,154,164,78.06,121.60968322123982
2023-10-21,S001-P0002,Clothing,90,198,60.7,122.54416899706325
2023-10-22,S001-P0002,Clothing,106,138,67.62,111.50926937457035
2023-10-23,S001-P0002,Clothing,153,124,61.49,148.49489861189633
2023-10-24,S001-P0002,Clothing,89,184,63.95,101.74489831792455
2023-10-25,S001-P0002,Clothing,185,123,80.28,131.51233906689617
2023-10-26,S001-P0002,Clothing,144,201,56.96,134.15895659070418
2023-10-27,S001-P0002,Clothing,66,191,55.89,117.4668633691763
2023-10-28,S001-P0002,Clothing,192,123,82.05,118.51922775229195
2023-10-29,S001-P0002,Clothing,92,181,68.08,115.51129104294998
2023-10-30,S001-P0002,Clothing,91,85,60.99,97.0439864422292
2023-10-31,S001-P0002,Clothing,61,81,52.09,93.6285773521034
2023-11-01,S001-P0002,Clothing,87,75,63.54,94.05536481174983
2023-11-02,S001-P0002,Clothing,61,99,60.86,115.69920404845867
2023-11-03,S001-P0002,Clothing,95,116,55.51,122.13821363541845
2023-11-04,S001-P0002,Clothing,85,122,66.39,96.57177000547033
2023-11-05,S001-P0002,Clothing,94,168,65.12,96.62476879454942
2023-11-06,S001-P0002,Clothing,97,64,69.14,97.92818266733575
2023-11-07,S001-P0002,Clothing,153,114,58.47,120.73614046773642
2023-11-08,S001-P0002,Clothing,19,140,46.11,153.88148964338572
2023-11-09,S001-P0002,Clothing,99,120,66.07,94.5996283146899
2023-11-10,S001-P0002,Clothing,111,122,65.08,121.26921151947906
2023-11-11,S001-P0002,Clothing,115,108,55.64,122.25526665592034
2023-11-12,S001-P0002,Clothing,157,103,70.87,122.34410073674256
2023-11-13,S001-P0002,Clothing,147,184,76.66,103.62337949653434
2023-11-14,S001-P0002,Clothing,113,267,69.18,92.93211788742846
2023-11-15,S001-P0002,Clothing,104,158,52.99,120.0074861854884
2023-11-16,S001-P0002,Clothing,66,137,59.0,102.58461270682652
2023-11-17,S001-P0002,Clothing,139,92,74.88,96.20958700066926
2023-11-18,S001-P0002,Clothing,119,115,59.33,121.98378157136857
2023-11-19,S001-P0002,Clothing,92,151,64.59,115.83719471149219
2023-11-20,S001-P0002,Clothing,21,166,38.87,124.31761861330499
2023-11-21,S001-P0002,Clothing,180,149,79.31,114.21217704917422
2023-11-22,S001-P0002,Clothing,116,204,73.55,101.15161623329382
2023-11-23,S001-P0002,Clothing,54,71,59.28,94.80259099755128
2023-11-24,S001-P0002,Clothing,68,79,53.34,103.22921957216138
2023-11-25,S001-P0002,Clothing,75,100,57.6,118.82358858344719
2023-11-26,S001-P0002,Clothing,131,102,77.0,115.39094098652618
2023-11-27,S001-P0002,Clothing,121,131,70.87,114.8742718486952
2023-11-28,S001-P0002,Clothing,58,153,54.34,92.6694482913458
2023-11-29,S001-P0002,Clothing,62,87,55.26,116.26380253019089
2023-11-30,S001-P0002,Clothing,165,107,80.57,103.60742284678254
2023-12-01,S001-P0002,Clothing,156,189,58.96,167.12283294829763
2023-12-02,S001-P0002,Clothing,83,276,59.27,126.72305073139152
2023-12-03,S001-P0002,Clothing,78,213,58.57,126.62903722552954
2023-12-04,S001-P0002,Clothing,191,142,81.66,160.62689866328228
2023-12-05,S001-P0002,Clothing,127,161,72.28,126.44370579369053
2023-12-06,S001-P0002,Clothing,114,178,69.37,139.29735112713874
2023-12-07,S001-P0002,Clothing,154,161,74.11,129.15641097837388
2023-12-08,S001-P0002,Clothing,129,164,72.69,130.94829088120298
2023-12-09,S001-P0002,Clothing,95,190,61.96,113.68891102654553
2023-12-10,S001-P0002,Clothing,143,81,71.91,114.00875392460485
2023-12-11,S001-P0002,Clothing,43,166,56.75,120.9355394777651
2023-12-12,S001-P0002,Clothing,130,125,69.05,173.50304985294142
2023-12-13,S001-P0002,Clothing,177,152,78.71,140.62941702845592
2023-12-14,S001-P0002,Clothing,111,158,65.27,139.66364726059564
2023-12-15,S001-P0002,Clothing,188,175,85.49,117.70454553083336
2023-12-16,S001-P0002,Clothing,66,193,62.11,130.41231338848687
2023-12-17,S001-P0002,Clothing,107,129,67.87,130.4780895896691
2023-12-18,S001-P0002,Clothing,170,151,81.66,131.7340944177631
2023-12-19,S001-P0002,Clothing,133,213,77.44,138.64474934171764
2023-12-20,S001-P0002,Clothing,206,68,79.92,137.58374865668526
2023-12-21,S001-P0002,Clothing,184,213,80.27,172.53046729626885
2023-12-22,S001-P0002,Clothing,148,239,68.75,175.42498045188762
2023-12-23,S001-P0002,Clothing,131,100,62.11,135.46726107353214
2023-12-24,S001-P0002,Clothing,127,132,61.43,175.96887666132682
2023-12-25,S001-P0002,Clothing,64,113,61.52,113.15867341779283
2023-12-26,S001-P0002,Clothing,154,106,74.03,110.09867506829406
2023-12-27,S001-P0002,Clothing,96,170,51.68,141.00577986072128
2023-12-28,S001-P0002,Clothing,150,78,61.74,168.84359872665675
2023-12-29,S001-P0002,Clothing,253,177,99.66,135.0368543538734
2023-12-30,S001-P0002,Clothing,97,210,62.13,116.61451837765641
2023-12-31,S001-P0002,Clothing,141,121,75.21,127.23675125602759
2024-01-01,S001-P0002,Clothing,105,149,57.3,158.6075249401198
2024-01-02,S001-P0002,Clothing,172,145,77.85,128.176676842393
2024-01-03,S001-P0002,Clothing,156,203,70.58,156.06315031881837
2024-01-04,S001-P0002,Clothing,115,165,66.2,118.35654394095553
2024-01-05,S001-P0002,Clothing,62,156,55.01,141.32182430375627
2024-01-06,S001-P0002,Clothing,157,110,74.57,128.13998910794922
2024-01-07,S001-P0002,Clothing,132,157,62.39,140.89605600453035
2024-01-08,S001-P0002,Clothing,172,131,77.67,130.58440284915682
2024-01-09,S001-P0002,Clothing,73,158,54.47,110.35641898360919
2024-01-10,S001-P0002,Clothing,147,86,76.49,110.44072683896566
2024-01-11,S001-P0002,Clothing,111,147,65.25,115.64576822789266
2024-01-12,S001-P0002,Clothing,131,169,73.1,129.64049859908098
2024-01-13,S001-P0002,Clothing,103,191,70.62,140.2403290138095
2024-01-14,S001-P0002,Clothing,119,102,67.02,114.46267585161246
2024-01-15,S001-P0002,Clothing,123,111,56.35,160.85215480640971
2024-01-16,S001-P0002,Clothing,153,104,65.64,138.01561177376107
2024-01-17,S001-P0002,Clothing,115,179,65.95,130.03411525955045
2024-01-18,S001-P0002,Clothing,134,200,73.82,139.38793793890477
2024-01-19,S001-P0002,Clothing,39,187,50.26,115.66176904916301
2024-01-20,S001-P0002,Clothing,120,145,60.02,173.82259511042156
2024-01-21,S001-P0002,Clothing,121,145,70.84,126.53720694229153
2024-01-22,S001-P0002,Clothing,147,198,76.48,139.95116009690673
2024-01-23,S001-P0002,Clothing,71,226,56.87,114.65920684250135
2024-01-24,S001-P0002,Clothing,150,142,65.73,164.1995787081754
2024-01-25,S001-P0002,Clothing,91,164,48.2,169.91966473040856
2024-01-26,S001-P0002,Clothing,144,67,71.85,160.4897320996205
2024-01-27,S001-P0002,Clothing,125,156,56.71,135.55544519607295
2024-01-28,S001-P0002,Clothing,114,210,73.11,122.72264929114712
2024-01-29,S001-P0002,Clothing,64,111,61.6,123.25187995748573
2024-01-30,S001-P0002,Clothing,119,136,70.55,110.18159922815538
2023-10-03,S001-P0003,Clothing,86,101,56.17,103.6879335276787
2023-10-04,S001-P0003,Clothing,99,399,55.75,103.80484094640917
2023-10-05,S001-P0003,Clothing,148,298,55.02,118.32549685398585
2023-10-06,S001-P0003,Clothing,174,889,65.82,136.6952059860019
2023-10-07,S001-P0003,Clothing,67,734,47.35,100.00809532057816
2023-10-08,S001-P0003,Clothing,114,662,58.43,111.47479932618641
2023-10-09,S001-P0003,Clothing,87,577,48.14,148.2589371934685
2023-10-10,S001-P0003,Clothing,145,513,67.48,99.18196785182505
2023-10-11,S001-P0003,Clothing,191,397,65.37,157.78437059700875
2023-10-12,S001-P0003,Clothing,76,242,54.17,101.28879978961676
2023-10-13,S001-P0003,Clothing,57,175,48.09,101.19757533369317
2023-10-14,S001-P0003,Clothing,67,784,49.95,100.22797827612396
2023-10-15,S001-P0003,Clothing,80,726,49.7,100.11806426246771
2023-10-16,S001-P0003,Clothing,76,663,51.49,103.23340529426828
2023-10-17,S001-P0003,Clothing,230,591,59.82,155.43658892244125
2023-10-18,S001-P0003,Clothing,108,320,45.26,126.17948835154037
2023-10-19,S001-P0003,Clothing,114,227,43.92,153.37875739189465
2023-10-20,S001-P0003,Clothing,150,101,61.81,121.67545942242207
2023-10-21,S001-P0003,Clothing,140,818,60.13,122.45015549120127
2023-10-22,S001-P0003,Clothing,105,681,56.78,111.50926937457035
2023-10-23,S001-P0003,Clothing,167,557,57.45,149.17232173058662
2023-10-24,S001-P0003,Clothing,80,374,55.02,101.74489831792455
2023-10-25,S001-P0003,Clothing,150,295,58.29,131.52422249167154
2023-10-26,S001-P0003,Clothing,87,140,56.38,103.92616840604933
2023-10-27,S001-P0003,Clothing,82,741,52.59,117.30707366213207
2023-10-28,S001-P0003,Clothing,131,686,61.65,118.51922775229195
2023-10-29,S001-P0003,Clothing,174,591,65.98,115.57706724413222
2023-10-30,S001-P0003,Clothing,86,455,53.36,97.0439864422292
2023-10-31,S001-P0003,Clothing,106,387,54.17,93.49196668591267
2023-11-01,S001-P0003,Clothing,119,285,53.39,94.09489385369845
2023-11-02,S001-P0003,Clothing,113,875,61.4,115.69920404845867
2023-11-03,S001-P0003,Clothing,70,746,45.31,95.45580986007282
2023-11-04,S001-P0003,Clothing,86,667,50.75,96.57177000547033
2023-11-05,S001-P0003,Clothing,102,595,53.49,96.62476879454942
2023-11-06,S001-P0003,Clothing,140,495,56.55,123.3302394631105
2023-11-07,S001-P0003,Clothing,105,409,53.85,94.562311790574
2023-11-08,S001-P0003,Clothing,214,289,72.73,153.88148964338572
2023-11-09,S001-P0003,Clothing,96,49,52.35,94.09960889452651
2023-11-10,S001-P0003,Clothing,115,569,61.71,94.67631296942011
2023-11-11,S001-P0003,Clothing,128,437,54.56,122.25526665592034
2023-11-12,S001-P0003,Clothing,138,1242,49.68,122.43928771964215
2023-11-13,S001-P0003,Clothing,159,1092,63.29,103.71739300239632
2023-11-14,S001-P0003,Clothing,130,907,48.45,122.935743721825
2023-11-15,S001-P0003,Clothing,149,816,58.45,121.4579708306462
2023-11-16,S001-P0003,Clothing,120,716,59.53,102.58461270682652
2023-11-17,S001-P0003,Clothing,107,576,51.44,96.20958700066926
2023-11-18,S001-P0003,Clothing,154,484,62.41,121.60153416155903
2023-11-19,S001-P0003,Clothing,130,318,52.15,156.8300853138372
2023-11-20,S001-P0003,Clothing,125,221,60.56,95.17793167219752
2023-11-21,S001-P0003,Clothing,107,82,54.17,114.21217704917422
2023-11-22,S001-P0003,Clothing,139,656,63.13,101.46725773884299
2023-11-23,S001-P0003,Clothing,125,507,57.24,124.2492666973255
2023-11-24,S001-P0003,Clothing,102,368,53.41,103.1352060662994
2023-11-25,S001-P0003,Clothing,90,275,48.7,94.17944955377139
2023-11-26,S001-P0003,Clothing,178,179,63.13,115.5507306935704
2023-11-27,S001-P0003,Clothing,144,524,50.59,147.89754016269052
2023-11-28,S001-P0003,Clothing,41,382,40.57,92.80605895753654
2023-11-29,S001-P0003,Clothing,103,341,53.58,116.05694824886847
2023-11-30,S001-P0003,Clothing,135,1032,56.13,103.76721255382677
2023-12-01,S001-P0003,Clothing,227,888,63.42,168.38730051743136
2023-12-02,S001-P0003,Clothing,209,704,67.89,159.04992823627137
2023-12-03,S001-P0003,Clothing,181,561,74.56,126.5632610243473
2023-12-04,S001-P0003,Clothing,134,390,65.38,127.08790451682702
2023-12-05,S001-P0003,Clothing,133,1069,55.85,126.5377192995525
2023-12-06,S001-P0003,Clothing,183,941,56.96,173.26846753108086
2023-12-07,S001-P0003,Clothing,123,722,60.14,129.09063477719164
2023-12-08,S001-P0003,Clothing,92,629,51.71,130.94829088120298
2023-12-09,S001-P0003,Clothing,162,534,57.15,134.93310806006986
2023-12-10,S001-P0003,Clothing,201,408,55.83,134.2690969628831
2023-12-11,S001-P0003,Clothing,203,195,67.3,120.9355394777651
2023-12-12,S001-P0003,Clothing,181,31,55.9,167.0256401919623
2023-12-13,S001-P0003,Clothing,130,586,61.44,140.02800208580072
2023-12-14,S001-P0003,Clothing,133,434,65.25,139.5978710594134
2023-12-15,S001-P0003,Clothing,71,1195,48.04,117.70454553083336
2023-12-16,S001-P0003,Clothing,187,1147,61.06,161.38950975717157
2023-12-17,S001-P0003,Clothing,114,957,55.46,130.57210309553108
2023-12-18,S001-P0003,Clothing,176,866,55.19,159.6154641588531
2023-12-19,S001-P0003,Clothing,129,706,58.01,174.36146512671624
2023-12-20,S001-P0003,Clothing,179,588,66.9,112.3584266765433
2023-12-21,S001-P0003,Clothing,192,467,65.56,135.8852194088121
2023-12-22,S001-P0003,Clothing,162,328,67.27,137.121284659024
2023-12-23,S001-P0003,Clothing,134,183,59.04,110.5362764608587
2023-12-24,S001-P0003,Clothing,135,903,59.02,139.10872531767762
2023-12-25,S001-P0003,Clothing,100,809,55.92,113.15867341779283
2023-12-26,S001-P0003,Clothing,91,701,48.83,110.09867506829406
2023-12-27,S001-P0003,Clothing,128,646,51.4,141.21895507253026
2023-12-28,S001-P0003,Clothing,183,554,67.36,143.37896410325226
2023-12-29,S001-P0003,Clothing,153,346,62.13,136.05798495469728
2023-12-30,S001-P0003,Clothing,80,233,49.5,116.61451837765641
2023-12-31,S001-P0003,Clothing,4,183,40.36,127.17097505484534
2024-01-01,S001-P0003,Clothing,104,914,59.56,129.1223551245954
2024-01-02,S001-P0003,Clothing,126,792,54.56,129.0060475119728
2024-01-03,S001-P0003,Clothing,175,646,69.7,128.34989646146474
2024-01-04,S001-P0003,Clothing,78,499,54.54,118.45362556519764
2024-01-05,S001-P0003,Clothing,161,438,53.02,165.15314601700703
2024-01-06,S001-P0003,Clothing,188,314,54.04,150.4156337388913
2024-01-07,S001-P0003,Clothing,108,948,57.4,116.53196601908768
2024-01-08,S001-P0003,Clothing,108,830,54.28,157.11794698313594
2024-01-09,S001-P0003,Clothing,54,757,45.1,109.90824617387185
2024-01-10,S001-P0003,Clothing,124,725,45.24,134.14907017269448
2024-01-11,S001-P0003,Clothing,168,598,54.7,138.93565454876324
2024-01-12,S001-P0003,Clothing,105,466,59.77,129.57472239789874
2024-01-13,S001-P0003,Clothing,125,356,63.7,140.2403290138095
2024-01-14,S001-P0003,Clothing,66,247,49.65,114.46267585161246
2024-01-15,S001-P0003,Clothing,107,827,51.47,132.05632405479147
2024-01-16,S001-P0003,Clothing,145,759,57.81,138.4756607517936
2024-01-17,S001-P0003,Clothing,88,643,50.95,130.03411525955045
2024-01-18,S001-P0003,Clothing,110,574,60.85,139.38793793890477
2024-01-19,S001-P0003,Clothing,136,480,59.3,139.67064571400553
2024-01-20,S001-P0003,Clothing,109,354,57.54,139.09310873979314
2024-01-21,S001-P0003,Clothing,96,287,52.34,126.53720694229153
2024-01-22,S001-P0003,Clothing,182,207,59.78,172.60039716926636
2024-01-23,S001-P0003,Clothing,101,574,59.03,114.211034032764
2024-01-24,S001-P0003,Clothing,238,514,76.92,164.10684146621898
2024-01-25,S001-P0003,Clothing,215,343,81.12,134.81677177525566
2024-01-26,S001-P0003,Clothing,95,949,55.06,121.6948335351047
2024-01-27,S001-P0003,Clothing,69,874,50.23,111.61490123291979
2024-01-28,S001-P0003,Clothing,192,809,65.47,160.3209657214106
2024-01-29,S001-P0003,Clothing,198,656,73.87,123.31765615866797
2024-01-30,S001-P0003,Clothing,137,434,59.46,110.62977203789272
2023-10-03,S001-P0004,Electronics,68,61,103.45,94.92829588806678
2023-10-04,S001-P0004,Electronics,100,234,104.02,124.4151608348579
2023-10-05,S001-P0004,Electronics,44,124,89.55,85.04679611797137
2023-10-06,S001-P0004,Electronics,146,233,113.87,93.630388286294
2023-10-07,S001-P0004,Electronics,75,127,95.74,62.66244724061595
2023-10-08,S001-P0004,Electronics,90,309,100.7,53.5751060729628
2023-10-09,S001-P0004,Electronics,47,240,81.68,53.80980296840955
2023-10-10,S001-P0004,Electronics,38,195,87.64,48.89114760013091
2023-10-11,S001-P0004,Electronics,72,155,74.82,79.1921210422754
2023-10-12,S001-P0004,Electronics,57,104,85.08,48.67204130167048
2023-10-13,S001-P0004,Electronics,44,220,76.25,64.33093295252961
2023-10-14,S001-P0004,Electronics,50,171,96.57,49.60956348540798
2023-10-15,S001-P0004,Electronics,48,123,90.99,49.49964947175172
2023-10-16,S001-P0004,Electronics,49,91,91.39,51.09333667825183
2023-10-17,S001-P0004,Electronics,69,129,83.14,77.71682584219157
2023-10-18,S001-P0004,Electronics,71,48,83.62,65.10224483530529
2023-10-19,S001-P0004,Electronics,113,135,97.43,77.869421828318
2023-10-20,S001-P0004,Electronics,99,182,103.67,76.33688591664855
2023-10-21,S001-P0004,Electronics,66,328,102.79,59.111121862488325
2023-10-22,S001-P0004,Electronics,37,265,82.79,53.53149054505815
2023-10-23,S001-P0004,Electronics,45,221,90.02,53.768412958370575
2023-10-24,S001-P0004,Electronics,42,170,80.09,49.19466925571237
2023-10-25,S001-P0004,Electronics,96,130,102.87,94.57772400319459
2023-10-26,S001-P0004,Electronics,62,24,91.14,93.77438256479535
2023-10-27,S001-P0004,Electronics,131,176,114.96,106.74388528016527
2023-10-28,S001-P0004,Electronics,133,76,102.56,137.92362997837134
2023-10-29,S001-P0004,Electronics,90,248,100.59,108.17329832280008
2023-10-30,S001-P0004,Electronics,56,190,93.88,89.35277707846913
2023-10-31,S001-P0004,Electronics,88,144,105.69,86.52946206852816
2023-11-01,S001-P0004,Electronics,114,90,90.79,109.9557413023662
2023-11-02,S001-P0004,Electronics,66,174,97.79,107.07921166407223
2023-11-03,S001-P0004,Electronics,94,320,102.06,87.53074817873133
2023-11-04,S001-P0004,Electronics,104,249,93.62,110.4603608645629
2023-11-05,S001-P0004,Electronics,115,139,97.04,110.8859763586094
2023-11-06,S001-P0004,Electronics,94,313,102.19,89.99340041404888
2023-11-07,S001-P0004,Electronics,92,223,101.48,87.19328663903764
2023-11-08,S001-P0004,Electronics,118,167,97.98,136.9272969353277
2023-11-09,S001-P0004,Electronics,141,260,112.27,85.10039238253586
